first_name,last_name,email,password,dob_month,dob_day,dob_year,address,phone,customer_type,drivers_license_number,med_card_number,order
Mary,Mitchell,mary.mitchell@hod710-stage-load-2.com,1234TEST,09,27,1952,out_of_state,1190934503,medical,20466164,53492235,2
Elizabeth,Diana,elizabeth.diana@hod710-stage-load-2.com,1234TEST,11,7,1997,out_of_state,2764058586,recreational,63836505,66234093,5
Sean,Robin,sean.robin@hod710-stage-load-2.com,1234TEST,09,11,1915,in_state,6547004634,medical,61931606,90662698,4
Angela,Phillip,angela.phillip@hod710-stage-load-2.com,1234TEST,10,26,1977,in_state,1732867494,recreational,76104328,42446997,2
Monica,Jesus,monica.jesus@hod710-stage-load-2.com,1234TEST,06,21,1919,out_of_state,3339975841,medical,19464986,54619150,5
Jesse,Valerie,jesse.valerie@hod710-stage-load-2.com,1234TEST,10,27,1988,out_of_state,3028247772,recreational,81626689,82107890,2
Chad,Kathleen,chad.kathleen@hod710-stage-load-2.com,1234TEST,04,21,1948,in_state,5839332674,recreational,29392729,63296966,2
Nathan,Lucas,nathan.lucas@hod710-stage-load-2.com,1234TEST,02,2,1954,out_of_state,5046261921,medical,69742228,65688212,3
Corey,Rachael,corey.rachael@hod710-stage-load-2.com,1234TEST,06,1,1909,in_state,7338221244,medical,38374988,37018528,3
Jessica,Stacy,jessica.stacy@hod710-stage-load-2.com,1234TEST,09,25,1982,out_of_state,6068794260,medical,70186017,89409290,4
Cassandra,Kelli,cassandra.kelli@hod710-stage-load-2.com,1234TEST,06,12,1991,in_state,9073816868,recreational,84866082,49686028,3
Alicia,Pamela,alicia.pamela@hod710-stage-load-2.com,1234TEST,05,25,1988,in_state,6089067593,medical,38678743,36686127,4
Ashley,Mallory,ashley.mallory@hod710-stage-load-2.com,1234TEST,09,26,1946,in_state,5948523088,recreational,59595290,63258916,4
Peter,Jill,peter.jill@hod710-stage-load-2.com,1234TEST,03,25,1988,in_state,6071889920,medical,74036570,80336580,4
Lindsey,Bobby,lindsey.bobby@hod710-stage-load-2.com,1234TEST,02,14,2000,in_state,4771263264,medical,88308543,86838716,4
Tiffany,Stacey,tiffany.stacey@hod710-stage-load-2.com,1234TEST,04,8,1906,in_state,2977738810,recreational,77739158,65655809,4
Monica,Hannah,monica.hannah@hod710-stage-load-2.com,1234TEST,10,27,1919,out_of_state,9598038028,medical,40240295,11238313,1
Lindsey,Tabitha,lindsey.tabitha@hod710-stage-load-2.com,1234TEST,01,3,1965,out_of_state,4547600787,medical,76558504,36742238,1
Amanda,Lance,amanda.lance@hod710-stage-load-2.com,1234TEST,04,15,1979,out_of_state,3450492884,recreational,43296876,43615632,2
Paul,Phillip,paul.phillip@hod710-stage-load-2.com,1234TEST,07,24,1972,out_of_state,3208901128,medical,78577932,46659230,4
Mary,Henry,mary.henry@hod710-stage-load-2.com,1234TEST,01,21,1932,in_state,2211926595,medical,88730141,43948845,5
Vanessa,Chase,vanessa.chase@hod710-stage-load-2.com,1234TEST,10,10,1911,in_state,4073661106,medical,42924116,82424538,4
Kyle,Caleb,kyle.caleb@hod710-stage-load-2.com,1234TEST,01,14,1917,out_of_state,5276518353,recreational,30695922,22198571,1
Marcus,Colleen,marcus.colleen@hod710-stage-load-2.com,1234TEST,06,20,1983,in_state,2988073825,medical,24781492,53017639,5
Melissa,Meredith,melissa.meredith@hod710-stage-load-2.com,1234TEST,07,4,1988,in_state,3697286197,medical,38090718,27850305,3
James,Tamara,james.tamara@hod710-stage-load-2.com,1234TEST,04,27,1931,out_of_state,4916011236,medical,44025611,17944661,2
Heather,Christian,heather.christian@hod710-stage-load-2.com,1234TEST,10,22,1984,out_of_state,2232201912,recreational,80537370,30097045,3
Kevin,Lawrence,kevin.lawrence@hod710-stage-load-2.com,1234TEST,07,13,1912,out_of_state,9633700148,medical,48148584,84044188,4
Jeffrey,Heidi,jeffrey.heidi@hod710-stage-load-2.com,1234TEST,10,17,1924,in_state,7119952788,recreational,27473572,19678231,3
Joshua,Colleen,joshua.colleen@hod710-stage-load-2.com,1234TEST,08,24,1958,in_state,3143176695,recreational,66385900,73578788,4
Bradley,Troy,bradley.troy@hod710-stage-load-2.com,1234TEST,05,17,1951,in_state,1374091752,recreational,98643815,41838909,3
Kristin,Dominique,kristin.dominique@hod710-stage-load-2.com,1234TEST,10,14,1973,out_of_state,3320552761,medical,41200993,79941578,3
Alicia,Erika,alicia.erika@hod710-stage-load-2.com,1234TEST,06,2,1985,in_state,3316999709,recreational,47595450,93045547,2
Andrea,Ricky,andrea.ricky@hod710-stage-load-2.com,1234TEST,11,6,1939,out_of_state,3872089197,medical,47934285,92000927,3
Katherine,Melanie,katherine.melanie@hod710-stage-load-2.com,1234TEST,04,23,1988,in_state,8386459212,medical,73253563,23056584,2
